title,price,drivetrain,exterior_color,model,year,trim,fuel_consume(L/100km),region,province,battery_charge_time(hr),battery_range(km),body_type,mileage(km),front_legroom(mm),cargo_volume(L)
2020 Tesla Model Y Performance AWD,39886,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Performance AWD,1.99,Concord,ON,10.0,507.0,SUV/ Crossover,101466,1062.0,1925.0
2020 Tesla Model 3 Long Range AWD,33480,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,60872,1085.0,424.0
2014 Tesla Model S P85 RWD,14999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2014.0,P85 RWD,2.655,Halton Hills,ON,12.0,407.0,Sedan,304048,1085.0,894.0
2023 Tesla Model Y RWD,41995,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2023.0,RWD,1.945,Mississauga,ON,9.4,418.0,SUV/ Crossover,35204,1064.0,971.0
2020 Tesla Model S Long Range Plus AWD,64950,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2020.0,Long Range Plus AWD,1.99,North Vancouver,BC,12.0,629.0,Sedan,34000,1085.0,744.0
2019 Tesla Model 3 Standard Plus RWD,30950,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,North Vancouver,BC,10.0,386.0,Sedan,61000,1085.0,424.0
2021 Tesla Model S Plaid AWD,84890,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2021.0,Plaid AWD,2.345,North York,ON,15.0,628.0,Sedan,68000,1085.0,744.0
2022 Tesla Model 3 RWD,34390,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,RWD,1.9,Bedford,NS,10.0,430.0,Sedan,59292,1085.0,648.0
2020 Tesla Model Y Long Range AWD,44999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2020.0,Long Range AWD,1.99,Surrey,BC,10.0,509.0,SUV/ Crossover,47000,1062.0,1925.0
2019 Tesla Model 3 Standard Plus RWD,27995,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Mission,BC,10.0,386.0,Sedan,103520,1085.0,424.0
2021 Tesla Model Y Performance AWD,43888,All-Wheel Drive,Black,Model Y,2021.0,Performance AWD,2.09,Concord,ON,10.0,507.0,SUV/ Crossover,114682,1062.0,1925.0
2015 Tesla Model S 85D AWD,23995,All-Wheel Drive,Red,Model S,2015.0,85D AWD,2.365,Montreal,QC,12.0,435.0,Sedan,228000,1085.0,894.0
2020 Tesla Model 3 Standard Range Plus RWD,27498,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,St-leonard,QC,10.0,402.0,Sedan,67866,1085.0,424.0
2023 Tesla Model Y RWD,39995,Rear-Wheel Drive,Red,Model Y,2023.0,RWD,1.945,Mississauga,ON,9.4,418.0,SUV/ Crossover,48409,1064.0,971.0
2021 Tesla Model 3 Standard Range Plus RWD,28988,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2021.0,Standard Range Plus RWD,1.9,Oakville,ON,10.0,430.0,Sedan,80000,1085.0,424.0
2019 Tesla Model 3 Long Range AWD,35404,All-Wheel Drive,Red,Model 3,2019.0,Long Range AWD,2.045,Sechelt,BC,10.0,499.0,Sedan,69580,1085.0,424.0
2016 Tesla Model X,43999,unknown,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2016.0,unknown,2.555,North Vancouver,BC,12.0,475.0,SUV/ Crossover,107000,1046.0,736.0
2022 Tesla Model Y Performance AWD,45490,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Performance AWD,2.09,Concord,ON,10.0,488.0,SUV/ Crossover,86400,1062.0,971.0
2022 Tesla Model 3 Long Range AWD,39888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Saint-Jean-sur-Richelieu,QC,10.0,538.0,Sedan,47106,1085.0,648.0
2022 Tesla Model Y Long Range AWD,47999,All-Wheel Drive,Black,Model Y,2022.0,Long Range AWD,1.945,Longueuil,QC,10.0,531.0,SUV/ Crossover,35181,1062.0,971.0
2022 Tesla Model 3 Long Range AWD,36888,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,Long Range AWD,1.9,Pickering,ON,10.0,538.0,Sedan,73770,1085.0,648.0
2021 Tesla Model 3 Standard Range Plus RWD,32000,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Brandon,MB,10.0,430.0,Sedan,90525,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,30888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Oakville,ON,10.0,430.0,Sedan,50422,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,27988,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2021.0,Standard Range Plus RWD,1.9,Oakville,ON,10.0,430.0,Sedan,93000,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,39810,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Delta,BC,10.0,518.0,Sedan,24559,1085.0,424.0
2022 Tesla Model Y Performance AWD,48999,All-Wheel Drive,Red,Model Y,2022.0,Performance AWD,2.09,Saint-Constant,QC,10.0,488.0,SUV/ Crossover,57900,1062.0,971.0
2020 Tesla Model 3 Long Range AWD,27800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Toronto,ON,10.0,518.0,Sedan,125000,1085.0,424.0
2020 Tesla Model Y Long Range AWD,41150,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Long Range AWD,1.99,Richmond Hill,ON,10.0,509.0,SUV/ Crossover,61350,1062.0,1925.0
2020 Tesla Model Y Performance AWD,38989,All-Wheel Drive,Black,Model Y,2020.0,Performance AWD,1.99,Saint-Basile-Le-Grand,QC,10.0,507.0,SUV/ Crossover,101641,1062.0,1925.0
2023 Tesla Model Y Long Range AWD,46995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Toronto,ON,11.5,531.0,SUV/ Crossover,57010,1062.0,971.0
2022 Tesla Model 3 RWD,32775,Rear-Wheel Drive,Black,Model 3,2022.0,RWD,1.9,Brossard,QC,10.0,430.0,Sedan,53584,1085.0,648.0
2023 Tesla Model Y,44888,unknown,Silver,Model Y,2023.0,unknown,1.945,Calgary,AB,10.0,509.0,SUV/ Crossover,9698,1062.0,971.0
2022 Tesla Model 3 RWD,37500,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Vancouver,BC,10.0,430.0,Sedan,45303,1085.0,648.0
2019 Tesla Model 3 Standard Plus RWD,20995,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,London,ON,10.0,386.0,Sedan,189299,1085.0,424.0
2023 Tesla Model Y RWD,37900,Rear-Wheel Drive,Black,Model Y,2023.0,RWD,1.945,Concord,ON,9.4,418.0,SUV/ Crossover,74000,1064.0,971.0
2021 Tesla Model 3 Standard Range Plus RWD,29990,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Etobicoke,ON,10.0,430.0,Sedan,60833,1085.0,424.0
2022 Tesla Model X Plaid AWD,129888,All-Wheel Drive,Black,Model X,2022.0,Plaid AWD,2.39,Coquitlam,BC,12.0,504.0,SUV/ Crossover,16641,1044.0,608.0
2022 Tesla Model Y Long Range AWD,50995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Mississauga,ON,10.0,531.0,SUV/ Crossover,32369,1062.0,971.0
2022 Tesla Model 3 Long Range AWD,39991,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Mississauga,ON,10.0,538.0,Sedan,51930,1085.0,648.0
2018 Tesla Model 3 Performance AWD,23990,All-Wheel Drive,Black,Model 3,2018.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,131600,1085.0,424.0
2023 Tesla Model Y,44888,unknown,White(/Pearl White Multi-Coat),Model Y,2023.0,unknown,1.945,Calgary,AB,10.0,509.0,SUV/ Crossover,10995,1062.0,971.0
2022 Tesla Model 3 Long Range AWD,35980,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,Long Range AWD,1.9,St.-Hubert,QC,10.0,538.0,Sedan,84666,1085.0,648.0
2019 Tesla Model 3 Long Range AWD,34800,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Long Range AWD,2.045,Richmond,BC,10.0,499.0,Sedan,77000,1085.0,424.0
2022 Tesla Model 3 RWD,30588,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,RWD,1.9,Saint-Hubert,QC,10.0,430.0,Sedan,84187,1085.0,648.0
2019 Tesla Model 3 Performance AWD,25980,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,131366,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,29998,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Vaughan,ON,10.0,430.0,Sedan,64209,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,29998,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,Long Range AWD,1.9,Vaughan,ON,11.5,576.0,Sedan,38871,1085.0,648.0
2021 Tesla Model 3 Performance AWD,41994,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Performance AWD,2.09,Nanaimo,BC,10.0,507.0,Sedan,72850,1085.0,424.0
2022 Tesla Model 3 RWD,30889,Rear-Wheel Drive,Black,Model 3,2022.0,RWD,1.9,Terrebonne,QC,10.0,430.0,Sedan,81376,1085.0,648.0
2015 Tesla Model S P85D AWD,26999,All-Wheel Drive,Black,Model S,2015.0,P85D AWD,2.51,Newmarket,ON,12.0,407.0,Sedan,127450,1085.0,894.0
2021 Tesla Model 3 Long Range AWD,40991,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Long Range AWD,1.9,Winnipeg,MB,10.0,568.0,Sedan,70711,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,22480,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,128790,1085.0,424.0
2021 Tesla Model Y Long Range AWD,44995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Mississauga,ON,10.0,509.0,SUV/ Crossover,50501,1062.0,1925.0
2020 Tesla Model 3 Long Range AWD,29888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,100224,1085.0,424.0
2022 Tesla Model Y Long Range AWD,42880,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,Concord,ON,10.0,531.0,SUV/ Crossover,96760,1062.0,971.0
2022 Tesla Model 3 RWD,34895,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Pointe-aux-trembles,QC,10.0,430.0,Sedan,21754,1085.0,648.0
2020 Tesla Model 3 Standard Range AWD,23980,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,104700,1085.0,424.0
2023 Tesla Model X AWD,95985,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2023.0,AWD,2.29,Laval,QC,14.0,560.0,SUV/ Crossover,39423,1044.0,1231.0
2021 Tesla Model 3 Standard Range Plus RWD,22950,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Mississauga,ON,10.0,430.0,Sedan,150786,1085.0,424.0
2022 Tesla Model Y Long Range AWD,45985,All-Wheel Drive,Black,Model Y,2022.0,Long Range AWD,1.945,North York,ON,10.0,531.0,SUV/ Crossover,73323,1062.0,971.0
2022 Tesla Model Y Long Range AWD,47480,All-Wheel Drive,Black,Model Y,2022.0,Long Range AWD,1.945,Montréal,QC,10.0,531.0,SUV/ Crossover,55419,1062.0,971.0
2020 Tesla Model 3 Standard Range AWD,27990,All-Wheel Drive,Black,Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,50980,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,24998,Rear-Wheel Drive,Red,Model 3,2020.0,Standard Range Plus RWD,1.9,St. Andrews,MB,10.0,402.0,Sedan,167214,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,48980,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,Long Range AWD,1.9,Vancouver,BC,10.0,538.0,Sedan,17188,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,27888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Mississauga,ON,10.0,402.0,Sedan,78462,1085.0,424.0
2020 Tesla Model Y Performance AWD,37887,All-Wheel Drive,Black,Model Y,2020.0,Performance AWD,1.99,Concord,ON,10.0,507.0,SUV/ Crossover,119700,1063.0,971.0
2019 Tesla Model 3 Long Range AWD,33990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Long Range AWD,2.045,Etobicoke,ON,10.0,499.0,Sedan,43060,1085.0,424.0
2023 Tesla Model Y RWD,39995,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2023.0,RWD,1.945,Salaberry-de-Valleyfield,QC,9.4,418.0,SUV/ Crossover,48687,1064.0,971.0
2023 Tesla Model Y RWD,42988,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,RWD,1.945,Saint-Hubert,QC,9.4,418.0,SUV/ Crossover,23325,1064.0,971.0
2016 Tesla Model S P90D AWD,29955,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2016.0,P90D AWD,2.51,Montreal,QC,12.0,435.0,Sedan,280200,1085.0,894.0
2022 Tesla Model 3 Long Range AWD,40500,All-Wheel Drive,Black,Model 3,2022.0,Long Range AWD,1.9,Richmond Hill,ON,10.0,538.0,Sedan,51601,1085.0,648.0
2022 Tesla Model 3 RWD,34988,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,RWD,1.9,Victoriaville,QC,10.0,430.0,Sedan,41500,1085.0,648.0
2023 Tesla Model 3 RWD,34880,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,52600,1085.0,424.0
2022 Tesla Model X AWD,93888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2022.0,AWD,2.29,Surrey,BC,12.0,534.0,SUV/ Crossover,51000,1044.0,1231.0
2023 Tesla Model Y,44888,unknown,White(/Pearl White Multi-Coat),Model Y,2023.0,unknown,1.945,Calgary,AB,10.0,509.0,SUV/ Crossover,15443,1062.0,971.0
2015 Tesla Model S P90D AWD,28900,All-Wheel Drive,Red,Model S,2015.0,P90D AWD,2.51,Montreal,QC,12.0,407.0,Sedan,150000,1085.0,894.0
2021 Tesla Model 3 Long Range AWD,34995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2021.0,Long Range AWD,1.9,Acton,ON,10.0,568.0,Sedan,79350,1085.0,424.0
2019 Tesla Model 3 Standard Plus RWD,28800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Vancouver,BC,10.0,386.0,Sedan,90000,1085.0,424.0
2022 Tesla Model 3 Performance AWD,46888,All-Wheel Drive,Black,Model 3,2022.0,Performance AWD,2.09,Toronto,ON,10.0,507.0,Sedan,60400,1085.0,648.0
2020 Tesla Model 3 Standard Range AWD,25490,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,96733,1085.0,424.0
2017 Tesla Model S 75D AWD,33999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2017.0,75D AWD,2.255,Mississauga,ON,12.0,417.0,Sedan,135000,1085.0,894.0
2013 Tesla Model S 85 RWD,15490,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2013.0,85 RWD,2.655,Fenwick,ON,12.0,426.0,Sedan,267000,1085.0,894.0
2022 Tesla Model 3 RWD,34999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Vaughan,ON,10.0,430.0,Sedan,45500,1085.0,648.0
2016 Tesla Model X 90D AWD,55777,All-Wheel Drive,Silver,Model X,2016.0,90D AWD,2.555,Toronto,ON,12.0,414.0,SUV/ Crossover,71400,1045.0,736.0
2016 Tesla Model S 90D AWD,29955,All-Wheel Drive,Blue(/Deep Blue Metallic),Model S,2016.0,90D AWD,2.255,Montreal,QC,12.0,473.0,Sedan,218800,1085.0,894.0
2024 Tesla Model Y Long Range AWD,55881,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2024.0,Long Range AWD,1.945,Edmonton,AB,9.0,499.0,SUV/ Crossover,65350,1062.0,971.0
2018 Tesla Model 3 Long Range RWD,22880,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2018.0,Long Range RWD,1.9,Scarborough,ON,12.0,499.0,Sedan,179677,1085.0,424.0
2021 Tesla Model 3 Performance AWD,44692,All-Wheel Drive,Black,Model 3,2021.0,Performance AWD,2.09,Chilliwack,BC,10.0,507.0,Sedan,70501,1085.0,424.0
2013 Tesla Model S Performance RWD,19999,Rear-Wheel Drive,Black,Model S,2013.0,Performance RWD,2.655,Toronto,ON,12.0,407.0,Sedan,289607,1085.0,894.0
2023 Tesla Model Y RWD,44995,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2023.0,RWD,1.945,Kelowna,BC,9.4,418.0,SUV/ Crossover,55325,1064.0,971.0
2018 Tesla Model 3 Long Range AWD,26998,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2018.0,Long Range AWD,2.045,Vaudreuil-Dorion,QC,10.0,499.0,Sedan,113168,1085.0,424.0
2022 Tesla Model Y Performance AWD,59995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Performance AWD,2.09,Abbotsford,BC,10.0,488.0,SUV/ Crossover,19000,1062.0,971.0
2019 Tesla Model 3 Standard Plus RWD,30800,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Richmond,BC,10.0,386.0,Sedan,74000,1085.0,424.0
2023 Tesla Model Y Long Range AWD,50990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Etobicoke,ON,11.5,531.0,SUV/ Crossover,38697,1062.0,971.0
2016 Tesla Model X 90D AWD,49750,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2016.0,90D AWD,2.555,Coquitlam,BC,12.0,414.0,SUV/ Crossover,139485,1046.0,736.0
2019 Tesla Model 3,28995,unknown,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,unknown,1.9,Langley,BC,10.0,430.0,Sedan,114384,1085.0,424.0
2022 Tesla Model 3 RWD,36995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Ottawa,ON,10.0,430.0,Sedan,48820,1085.0,648.0
2022 Tesla Model Y Long Range AWD,49986,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Cowansville,QC,10.0,531.0,SUV/ Crossover,36697,1062.0,971.0
2020 Tesla Model 3 Long Range AWD,35984,All-Wheel Drive,Black,Model 3,2020.0,Long Range AWD,1.945,Cowansville,QC,10.0,518.0,Sedan,42133,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,28980,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,402.0,Sedan,82064,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,44988,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Brantford,ON,10.0,538.0,Sedan,34680,1085.0,648.0
2018 Tesla Model 3 Long Range AWD,29498,All-Wheel Drive,Black,Model 3,2018.0,Long Range AWD,2.045,St-leonard,QC,10.0,499.0,Sedan,65938,1085.0,424.0
2019 Tesla Model 3 Standard RWD,26990,Rear-Wheel Drive,Black,Model 3,2019.0,Standard RWD,1.9,Etobicoke,ON,10.0,354.0,Sedan,85760,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,39999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Long Range AWD,1.9,Saint-Jean-sur-Richelieu,QC,10.0,538.0,Sedan,63303,1085.0,648.0
2022 Tesla Model 3 Performance AWD,47988,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Performance AWD,2.09,Burlington,ON,10.0,507.0,Sedan,53743,1085.0,648.0
2022 Tesla Model Y Long Range AWD,57897,All-Wheel Drive,Silver,Model Y,2022.0,Long Range AWD,1.945,Surrey,BC,10.0,531.0,SUV/ Crossover,21354,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,24590,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Etobicoke,ON,10.0,402.0,Sedan,129886,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,34995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Hamilton,ON,10.0,518.0,Sedan,57625,1085.0,424.0
2023 Tesla Model 3 Long Range AWD,48989,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,Long Range AWD,1.9,Richmond,BC,11.5,576.0,Sedan,22906,1085.0,648.0
2023 Tesla Model 3 Long Range AWD,49994,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,Long Range AWD,1.9,Langley,BC,11.5,576.0,Sedan,10500,1085.0,648.0
2019 Tesla Model 3,25900,unknown,Red,Model 3,2019.0,unknown,1.9,Whitby,ON,10.0,430.0,Sedan,100090,1085.0,424.0
2020 Tesla Model Y Long Range AWD,40888,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2020.0,Long Range AWD,1.99,North York,ON,10.0,509.0,SUV/ Crossover,66935,1062.0,1925.0
2019 Tesla Model 3 Standard Plus RWD,28490,Rear-Wheel Drive,Red,Model 3,2019.0,Standard Plus RWD,1.9,Etobicoke,ON,10.0,386.0,Sedan,64570,1085.0,424.0
2018 Tesla Model X 75D AWD,42955,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2018.0,75D AWD,2.555,Montreal,QC,12.0,381.0,SUV/ Crossover,162800,1046.0,736.0
2018 Tesla Model S 75D AWD,46988,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2018.0,75D AWD,2.255,Brantford,ON,12.0,417.0,Sedan,34485,1085.0,744.0
2019 Tesla Model 3 Standard RWD,24299,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard RWD,1.9,Brampton,ON,10.0,354.0,Sedan,117900,1085.0,424.0
2017 Tesla Model X 100D AWD,64900,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2017.0,100D AWD,2.655,Burnaby,BC,12.0,475.0,SUV/ Crossover,97000,1045.0,736.0
2021 Tesla Model 3 Standard Range Plus RWD,26998,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,St-leonard,QC,10.0,430.0,Sedan,111977,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,27500,All-Wheel Drive,Black,Model 3,2020.0,Long Range AWD,1.945,Mississauga,ON,10.0,518.0,Sedan,148000,1085.0,424.0
2019 Tesla Model 3 Standard Plus RWD,27888,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Concord,ON,10.0,386.0,Sedan,77333,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,29985,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Standard Range Plus RWD,1.9,North York,ON,10.0,402.0,Sedan,81508,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,29950,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,Saint-Eustache,QC,10.0,430.0,Sedan,80000,1085.0,424.0
2021 Tesla Model Y Standard Range RWD,38980,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Standard Range RWD,1.945,Montréal,QC,10.0,393.0,SUV/ Crossover,77586,1062.0,1925.0
2020 Tesla Model 3 Standard Range Plus RWD,27995,Rear-Wheel Drive,Black,Model 3,2020.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,402.0,Sedan,99000,1085.0,424.0
2022 Tesla Model Y Long Range AWD,44499,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,Laval,QC,10.0,531.0,SUV/ Crossover,77780,1062.0,971.0
2019 Tesla Model 3 Long Range AWD,35800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Long Range AWD,2.045,Richmond,BC,10.0,499.0,Sedan,87000,1085.0,424.0
2023 Tesla Model Y Long Range AWD,51490,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Etobicoke,ON,11.5,531.0,SUV/ Crossover,37053,1062.0,971.0
2021 Tesla Model 3 Long Range AWD,33888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Long Range AWD,1.9,Concord,ON,10.0,568.0,Sedan,93097,1085.0,424.0
2020 Tesla Model Y Performance AWD,45790,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2020.0,Performance AWD,1.99,Etobicoke,ON,10.0,507.0,SUV/ Crossover,65904,1062.0,1925.0
2023 Tesla Model Y RWD,43995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,RWD,1.945,Mississauga,ON,9.4,418.0,SUV/ Crossover,34177,1064.0,971.0
2019 Tesla Model 3,30597,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard RWD,1.9,Coquitlam,BC,10.0,430.0,Sedan,99166,1085.0,424.0
2017 Tesla Model X 75D AWD,45995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2017.0,75D AWD,2.555,Ottawa,ON,12.0,383.0,SUV/ Crossover,72366,1046.0,736.0
2024 Tesla Model Y,54000,unknown,Black,Model Y,2024.0,unknown,1.945,Toronto,ON,10.0,509.0,SUV/ Crossover,12235,1062.0,971.0
2018 Tesla Model 3 Performance AWD,25990,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2018.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,111688,1085.0,424.0
2023 Tesla Model Y Performance AWD,58499,All-Wheel Drive,Black,Model Y,2023.0,Performance AWD,2.09,Burnaby,BC,11.8,488.0,SUV/ Crossover,34850,1062.0,481.0
